threshold,fmeasure
0.0,0
0.05,1.3986013986013983
0.1,2.5806451612903225
0.15000000000000002,2.4539877300613497
0.2,3.4090909090909087
0.25,4.1450777202072535
0.30000000000000004,3.773584905660377
0.35000000000000003,5.063291139240507
0.4,6.94980694980695
0.45,7.142857142857142
0.5,7.017543859649122
0.55,6.734006734006734
0.6000000000000001,7.2507552870090635
0.65,7.079646017699115
0.7000000000000001,7.558139534883722
0.75,8.403361344537815
0.8,9.214092140921409
0.8500000000000001,9.164420485175201
0.9,9.090909090909092
0.9500000000000001,9.090909090909092
1.0,9.090909090909092
